Nganh,TenCoPhieu,TileTB,GiaBanTB,Thang1,Thang2,Thang3,Thang4,Thang5,Thang6,Thang7,Thang8,Thang9,Thang10,Thang11,Thang12
Energy,CIE,1.030432,24.87566,1.097667,1.025,1.01,0.936,1.084,1.093571,1.014889,0.9681429,0.983875,0.98075,1.157,1.014286
Cons-NonCyc,CL,1.003261,101.4827,1.0034,1.01075,1.008333,1.005222,0.99375,1.0148,1.009875,0.9936666,1.011,0.993,1.001833,0.9935
Basiclnd,CLF,0.9940155,50.78302,1.019,0.9535,1.024818,0.9742727,0.9645,0.9980769,0.9718571,0.9896923,1.005222,0.9941764,0.9764444,1.056625
ETFs,CLI,0.996543,27.3155,1.0145,0.9773334,0.98475,1,0.9775,1.024667,0.99475,0.9856,1.014667,1.002,0.985,0.99775
Energy,CLR,0.9882414,77.23418,0.9835,1.037,0.9916667,0.9923334,0.9610834,1.004,0.9402857,1.021111,1.001667,0.9628571,0.95625,1.007143
Services,CMG,1.00167,349.3377,1.015909,1.011692,1.013461,1.001769,0.9938235,0.993,0.9415,1.0225,1.0436,0.9764375,0.9847778,1.021571
Utilities,CNL,1.00099,40.84808,1.043,1.002,0.9835,1.002,0.999,1.012,0.9886667,1.001,1,0.9987143,0.985,0.997
Insurance,CNO,1.007052,8.172881,1.019,1.0025,1.01,1.0065,0.9813333,1.058857,1.003765,1.03,0.993,0.989,0.9806667,1.01
InvServ,CNS,0.9838685,32.06118,1.040778,0.976,0.9835,1.010111,0.974,1.0062,0.898,0.978,0.949,0.947,1.0405,1.003333
Transp,CP,1.004417,80.91477,1.015615,1.004375,1.002214,1.0073,0.9855,1.002615,0.98775,0.9972,1.0095,1.003,1.023375,1.014556
Transp,CPA,1.003392,81.44533,1.029,0.988125,1.033462,1.0124,0.9896667,0.9790769,1.001111,0.9803333,0.9928889,1.028929,0.9961765,1.009529
Transp,CPLP,1.000456,7.568523,1.043556,0.94575,1.017,0.9955333,0.9560625,1.032143,1.0132,0.991,1.008333,0.996,1.0079,0.999
Services,CPNO,0.9911572,31.66147,0.984,0.9846667,0.9823333,0.994,0.9238333,0.9907778,0.9876667,1.030445,1.021545,0.9622857,1.024333,1.008
ETFs,CPT,0.9908994,65.34349,1.012842,0.9891111,1.01,0.9926,0.9717143,0.993,0.994,1.0155,0.9664,1.002625,0.966,0.977
Utilities,CQP,0.9975354,22.58892,1.026917,1.028,0.9895,0.9751428,0.9393333,1.028833,1.010529,1.013786,0.9620667,0.98825,1.001067,1.007
Energy,CRK,0.9740553,16.40948,0.886,1.018,0.9717,1.0025,0.9037143,0.936,0.9713333,0.9916667,0.98775,0.942,0.977,1.101
Tech,CRM,1.008726,145.7819,1.059125,1.048,1.035,0.959,0.9736667,1.010385,0.927,1.03,1.043429,0.9886667,1.007889,1.022556
Energy,CRR,0.9926088,83.4348,0.958,1.0725,1.030714,0.94225,1.006,0.9414,0.9234,1.043667,0.952,1.03,0.996125,1.01525
Semicond,CRUS,1.002267,29.88981,1.0525,0.975,1.0184,0.9353333,1.0346,0.9895,1.1215,1.01175,1.003,0.9122,0.9590909,1.014333
Services,CSTR,1.018041,55.87736,1.222,1.023778,1.002,1.018,0.953,1.04125,0.906,1.014,0.989625,1.074667,0.96,1.012167
Energy,CVX,1.000503,107.7944,0.963,0.9960001,0.9897,1.01,0.9908571,1.0296,1.021,1.0074,1.009222,0.9839231,0.9974,1.007937
Semicond,CY,0.9931067,13.23567,1.053,1.03,0.938,0.9476666,0.944,0.9708333,0.9627143,1.078333,1.013,0.961,0.9814,1.037333
Services,CYS,1.001898,13.52221,1.005125,1.002,0.9900833,1.006154,0.9987647,1.000933,0.9985334,1.004591,0.9917273,0.9995834,1.0255,0.9997778
Cons-Cyc,D,1.003631,52.09962,1,0.992,0.999,0.9995,1.0022,1.023,1.0005,1.0075,0.989,1.001667,1.0136,1.0156
ETFs,DCT,1.003006,6.068847,1.013375,1.002333,1.0108,0.974,0.985,1.029,1.0079,0.995,0.993,1.002167,1.0155,1.008
Cons-Cyc,DECK,0.9990016,52.86907,1.030125,1.00775,0.959625,1.018833,1.011467,0.9817692,0.9924545,1.0069,0.908,1.002667,1.013429,1.055
Cons-Cyc,DELL,0.9976476,12.91162,1.056,0.99,0.995,0.9838333,0.9723333,1.014571,0.9941818,0.97855,0.9874167,0.9913333,1.010733,0.9978182
Cons-Cyc,DIA,0.999725,129.5826,1.003125,0.9988,1.004143,0.996375,0.978,1.010667,1.012667,0.994,1.011,0.9868333,0.9990909,1.002
Services,DISCA,1.00506,53.11464,1.006,1.00675,1.031875,1.02525,0.981,1.018,0.987,0.9836667,1.0179,0.9898,0.9981428,1.015333
Utilities,DTE,1.002296,57.96472,1.002,1.0055,1.0048,1.01325,1.006667,0.9906667,0.99,1.006,0.998,1.002667,1.012,0.996
Services,EEM,1.002301,41.25484,1.0251,1.00375,0.9948125,1.002,0.9712632,0.9988667,1.005385,1.0065,1.01925,0.9935,0.9903333,1.016857
Cons-Cyc,EFA,1.00431,52.35941,1.00725,1.003133,1.002444,1.0054,0.9712222,1.003714,0.9916667,1.044,1.0255,0.9871666,1.003,1.007222
Utilities,ENB,0.9987126,39.38284,1.032,0.9934444,1.006857,0.987,0.946,1.011,0.9905,0.9922857,1.01325,0.9994286,0.9835,1.029286
Tech,ENOC,0.995927,9.18874,0.9855,0.9326667,0.8985,0.9208333,1.04275,1.1002,1.005444,1.050375,1.0899,0.9764546,0.932,1.0165
Utilities,EPB,1.001117,35.22075,0.9986667,0.9821667,0.9921667,1.014,1.0098,1.001,1.010714,0.9897143,0.9868,1.004,1.028,0.996375
ETFs,EQY,1.005254,20.58943,1.0215,0.9856667,1.007667,1.007857,0.98675,1.014071,1.000667,1.002846,1.0085,1.009778,1.015,1.00275
Utilities,ETE,0.9916682,42.35604,0.9978,0.9948571,0.9781111,0.9611667,0.949,1.04125,1.0025,0.9965,1.015,0.999,0.9795,0.9853333
Services,EWA,1.000929,23.3014,1.021333,0.941,0.995875,1.003818,0.9718,1.011111,1.031333,1.003,1.005,1.010545,1.010333,1.006
Cons-Cyc,EWG,1.001024,21.84,1.0296,0.974,0.9906666,0.9982143,0.9663636,1.010133,1.0066,1.009625,1.007833,0.99725,1.007,1.015
Services,EWJ,0.9987904,9.348724,0.986,1.023,0.9965882,0.9877692,0.9809091,1.01325,0.9922778,1.012667,1.01,0.9765,0.9946667,1.011857
Services,EWS,1.005429,12.75333,1.0165,1.009,1.0065,1.00325,0.9816,1.019846,1.0095,0.99525,1.003,0.9932,1.0185,1.009
